wrapper  | OpenSCManager failed - Access is denied. (0x5)
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Public Repositories" [id=public][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.repository.GroupRepository]
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - This is 1st start of new Nexus instance.
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Nexus Work Directory : D:\Softwares\nexus-2.11.2-06-bundle\sonatype-work\nexus
jvm 1    | 2015-07-03 11:30:51,110+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Started Sonatype Nexus 2.11.2-06
jvm 1    | 2015-07-03 11:30:52,168+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for site content class
jvm 1    | 2015-07-03 11:30:52,168+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for rubygems content class
jvm 1    | 2015-07-03 11:30:52,168+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for npm content class
jvm 1    | 2015-07-03 11:30:52,168+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.targets.DefaultTargetRegistryEventInspector - Adding default target for nuget content class
jvm 1    | 2015-07-03 11:30:52,184+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Repository Target Registry]...
jvm 1    | 2015-07-03 11:30:53,855+0530 INFO  [jetty-main-1] *SYSTEM com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration.
jvm 1    | 2015-07-03 11:30:53,855+0530 INFO  [jetty-main-1] *SYSTEM com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration to version 1
