wrapper  | OpenSCManager failed - Access is denied. (0x5)
jvm 1    | 2015-07-03 11:35:40,466+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ruby-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,466+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-webresources-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ui-extjs3-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-site-repository-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-groovy-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-npm-repository-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rutauth-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-restlet1x-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-maven-bridge-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-capabilities-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-logging-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rrb-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ldap-realm-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,536+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-timeline-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,536+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-h2-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,539+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-analytics-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,541+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-plugin-console-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,541+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-kazuki-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,544+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-nuget-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,544+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-atlas-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,546+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-indexer-lucene-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,549+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-content-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,551+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-outreach-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,551+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-siesta-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 11:35:40,551+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.events.EventSubscriberHost - Starting
jvm 1    | 2015-07-03 11:35:40,666+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.timeline.DefaultNexusTimeline - Initializing Nexus Timeline...
jvm 1    | 2015-07-03 11:35:40,671+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.timeline.DefaultNexusTimeline - Starting Nexus Timeline...
jvm 1    | 2015-07-03 11:35:41,234+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.timeline.internal.DefaultTimeline - Started Timeline...
jvm 1    | 2015-07-03 11:35:41,404+0530 WARN  [jetty-main-1] *SYSTEM com.orientechnologies - No enough physical memory available for DISKCACHE: 1,948MB (heap=683MB). Set lower Maximum Heap (-Xmx setting on JVM) and restart OrientDB. Now running with DISKCACHE=256MB
jvm 1    | 2015-07-03 11:35:41,846+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.apachehttpclient.Hc4ProviderImpl - Started (connectionPoolMaxSize 200, connectionPoolSize 20, connectionPoolIdleTime 30000 ms, connectionPoolTimeout 30000 ms, keepAliveMaxDuration 30000 ms)
jvm 1    | 2015-07-03 11:35:42,296+0530 WARN  [jetty-main-1] *SYSTEM com.orientechnologies.orient.core.storage.impl.local.OSingleFileSegment - {db=npm} segment file 'database.ocf' was not closed correctly last time
jvm 1    | 2015-07-03 11:35:44,239+0530 INFO  [jetty-main-1] *SYSTEM com.bolyuba.nexus.plugin.npm.service.internal.orient.OrientMetadataStore - Opened database: com.orientechnologies.orient.core.db.document.ODatabaseDocumentTx@4021b60f
jvm 1    | 2015-07-03 11:35:44,269+0530 INFO  [jetty-main-1] *SYSTEM com.bolyuba.nexus.plugin.npm.service.internal.orient.OrientMetadataStore - Created pool (maxSize=100): com.orientechnologies.orient.core.db.OPartitionedDatabasePool@74bf749a
jvm 1    | 2015-07-03 11:35:45,879+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Loading Nexus Configuration...
jvm 1    | 2015-07-03 11:35:45,904+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.source.StaticConfigurationSource - Configuration loaded successfully.
jvm 1    | 2015-07-03 11:35:45,931+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.source.FileConfigurationSource - Configuration loaded successfully.
jvm 1    | 2015-07-03 11:35:46,319+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.source.FileConfigurationSource - Nexus configuration validated successfully.
jvm 1    | 2015-07-03 11:35:46,529+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration...
jvm 1    | 2015-07-03 11:35:46,544+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06\..\sonatype-work\nexus\conf\security-configuration.xml
jvm 1    | 2015-07-03 11:35:46,556+0530 INFO  [jetty-main-1] *SYSTEM org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthenticatingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2015-07-03 11:35:46,559+0530 INFO  [jetty-main-1] *SYSTEM org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthenticatingRealm.authorizationCache]
jvm 1    | 2015-07-03 11:35:46,561+0530 INFO  [jetty-main-1] *SYSTEM org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2015-07-03 11:35:46,564+0530 INFO  [jetty-main-1] *SYSTEM org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthorizingRealm.authorizationCache]
jvm 1    | 2015-07-03 11:35:46,636+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.attributes.DefaultLSAttributeStorage - Default FS AttributeStorage in place, using JacksonJSON marshaller.
jvm 1    | 2015-07-03 11:35:47,736+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central" [id=central][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2015-07-03 11:35:47,929+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Apache Snapshots" [id=apache-snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2015-07-03 11:35:48,131+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Codehaus Snapshots" [id=codehaus-snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
jvm 1    | 2015-07-03 11:35:48,344+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Releases" [id=releases][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2015-07-03 11:35:48,521+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Snapshots" [id=snapshots][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2015-07-03 11:35:48,731+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "3rd party" [id=thirdparty][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenHostedRepository]
jvm 1    | 2015-07-03 11:35:48,804+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central M1 shadow" [id=central-m1][contentClass=Maven1][mainFacet=org.sonatype.nexus.proxy.maven.MavenShadowRepository]
jvm 1    | 2015-07-03 11:35:48,971+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Public Repositories" [id=public][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.repository.GroupRepository]
jvm 1    | 2015-07-03 11:35:48,974+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.scheduling.DefaultScheduler - Initializing Scheduler...
jvm 1    | 2015-07-03 11:35:48,974+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.scheduling.internal.DefaultTaskConfigManager - 0 task(s) to load.
jvm 1    | 2015-07-03 11:35:48,976+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Nexus Work Directory : D:\Softwares\nexus-2.11.2-06-bundle\sonatype-work\nexus
jvm 1    | 2015-07-03 11:35:48,976+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Started Sonatype Nexus 2.11.2-06
jvm 1    | 2015-07-03 11:35:51,881+0530 INFO  [jetty-main-1] *SYSTEM com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Starting Nuget DB migration.
jvm 1    | 2015-07-03 11:35:51,901+0530 INFO  [jetty-main-1] *SYSTEM com.sonatype.nexus.plugins.nuget.odata.NugetODataGalleryMigrator - Completed Nuget DB migration.
jvm 1    | 2015-07-03 11:35:52,099+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Initialized
jvm 1    | 2015-07-03 11:35:52,489+0530 WARN  [ar-4-thread-3] *SYSTEM org.sonatype.nexus.proxy.maven.routing.internal.RemoteContentDiscovererImpl - Remote strategy prefix-file error on M2Repository(id=apache-snapshots): java.net.UnknownHostException: repository.apache.org
jvm 1    | 2015-07-03 11:35:52,496+0530 WARN  [ar-4-thread-2] *SYSTEM org.sonatype.nexus.proxy.maven.routing.internal.RemoteContentDiscovererImpl - Remote strategy prefix-file error on M2Repository(id=codehaus-snapshots): java.net.UnknownHostException: nexus.codehaus.org
jvm 1    | 2015-07-03 11:35:53,039+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.rest.NexusApplication_UriMatching - Strict URI matching: true
jvm 1    | 2015-07-03 11:35:53,626+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.ModelUtils - Loading model D:\Softwares\nexus-2.11.2-06-bundle\sonatype-work\nexus\conf\ldap.xml
jvm 1    | 2015-07-03 11:35:53,666+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.configuration.ModelUtils - Loading model D:\Softwares\nexus-2.11.2-06-bundle\sonatype-work\nexus\conf\lvo-plugin.xml
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule - Resources:
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/events
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/analytics/settings
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/security-diagnostic
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/support-zip
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/atlas/system-information
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/stores
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/capabilities/types
jvm 1    | 2015-07-03 11:35:54,241+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gaDetails
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/gavDetails
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckEula
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckInfo
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckStatus
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/healthcheck/healthCheckSummary/{repositoryId}/{path:.*}
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/log
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/logging/loggers
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/authenticate
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/download
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   /service/siesta/wonderland/settings
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule - Components:
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.capabilities.internal.rest.CapabilityNotFoundExceptionMapper
jvm 1    | 2015-07-03 11:35:54,244+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.AuthorizationExceptionMapper
jvm 1    | 2015-07-03 11:35:54,246+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.InvalidConfigurationExceptionMapper
jvm 1    | 2015-07-03 11:35:54,246+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.NoSuchRepositoryExceptionMapper
jvm 1    | 2015-07-03 11:35:54,246+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.jackson.JacksonProvider
jvm 1    | 2015-07-03 11:35:54,246+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.BadRequestExceptionMapper
jvm 1    | 2015-07-03 11:35:54,256+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ConstraintViolationExceptionMapper
jvm 1    | 2015-07-03 11:35:54,301+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.InvalidObjectExceptionMapper
jvm 1    | 2015-07-03 11:35:54,301+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ObjectNotFoundExceptionMapper
jvm 1    | 2015-07-03 11:35:54,301+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ThrowableExceptionMapper
jvm 1    | 2015-07-03 11:35:54,304+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ValidationErrorsExceptionMapper
jvm 1    | 2015-07-03 11:35:54,304+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationExceptionMapper
jvm 1    | 2015-07-03 11:35:54,304+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationMessageExceptionMapper
jvm 1    | 2015-07-03 11:35:54,739+0530 WARN  [ar-4-thread-1] *SYSTEM org.sonatype.nexus.proxy.maven.routing.internal.RemoteContentDiscovererImpl - Remote strategy prefix-file error on M2Repository(id=central): java.net.UnknownHostException: repo1.maven.org
jvm 1    | 2015-07-03 11:35:55,821+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webresources.internal.WebResourceServiceImpl - Discovered 1973 resources
jvm 1    | 2015-07-03 11:35:55,824+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webresources.internal.WebResourceServlet - Max-age: 30 days (2592000 seconds)
jvm 1    | 2015-07-03 11:35:55,949+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.bootstrap.jetty.InstrumentedSelectChannelConnector - Metrics enabled
jvm 1    | 2015-07-03 11:35:56,016+0530 INFO  [jetty-main-1] *SYSTEM org.eclipse.jetty.server.AbstractConnector - Started InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2015-07-03 11:35:56,016+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Running
jvm 1    | 2015-07-03 11:35:56,016+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Started
jvm 1    | 2015-07-03 11:51:29,697+0530 INFO  [qtp969438838-50] *SYSTEM org.apache.shiro.nexus5727.FixedDefaultWebSessionManager - Global session timeout: 1800000 ms
jvm 1    | 2015-07-03 11:51:29,699+0530 INFO  [qtp969438838-50] *SYSTEM org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Enabling session validation scheduler...
jvm 1    | 2015-07-03 11:51:29,744+0530 INFO  [qtp969438838-50] *UNKNOWN org.sonatype.security.model.source.FileModelConfigurationSource - Loading security configuration from: D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06\..\sonatype-work\nexus\conf\security.xml
jvm 1    | 2015-07-03 11:51:29,892+0530 INFO  [qtp969438838-50] *UNKNOWN org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [shiro-activeSessionCache]
jvm 1    | 2015-07-03 11:51:30,232+0530 INFO  [qtp969438838-50] admin /nexus - nexus: [Noelios Restlet Engine] - Attaching application: org.sonatype.nexus.rest.NexusApplication@18f3f628 to URI: /nexus/service/local
jvm 1    | 2015-07-03 11:51:30,724+0530 INFO  [qtp969438838-52] admin com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
jvm 1    | 2015-07-03 11:51:31,004+0530 INFO  [qtp969438838-51] admin com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
wrapper  | CTRL-C trapped.  Shutting down.
jvm 1    | 2015-07-03 11:51:49,239+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Stopping with code: 0
jvm 1    | 2015-07-03 11:51:49,239+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping
jvm 1    | 2015-07-03 11:51:49,239+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping: org.eclipse.jetty.server.Server@3763fa09
jvm 1    | 2015-07-03 11:51:49,239+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.eclipse.jetty.server.Server - Graceful shutdown InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2015-07-03 11:51:49,239+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.eclipse.jetty.server.Server - Graceful shutdown o.e.j.w.WebAppContext{/nexus,file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/nexus/},D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus
jvm 1    | 2015-07-03 11:51:49,254+0530 INFO  [Wrapper-Control-Event-Monitor] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Received control event: 200
jvm 1    | 2015-07-03 11:51:50,268+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Destroying
jvm 1    | 2015-07-03 11:51:50,268+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.scheduling.DefaultScheduler - Shutting down Scheduler...
jvm 1    | 2015-07-03 11:51:50,268+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.apachehttpclient.Hc4ProviderImpl - Stopped
jvm 1    | 2015-07-03 11:51:50,736+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.timeline.DefaultNexusTimeline - Stopping Nexus Timeline...
jvm 1    | 2015-07-03 11:51:50,736+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.timeline.internal.DefaultTimeline - Stopped Timeline...
jvm 1    | 2015-07-03 11:51:50,736+0530 INFO  [WrapperListener_stop_runner] *SYSTEM com.bolyuba.nexus.plugin.npm.service.internal.orient.OrientMetadataStore - Closing pool: com.orientechnologies.orient.core.db.OPartitionedDatabasePool@74bf749a
jvm 1    | 2015-07-03 11:51:50,736+0530 INFO  [WrapperListener_stop_runner] *SYSTEM com.orientechnologies.orient.core.Orient - - closing storage: npm...
wrapper  | CTRL-C trapped.  Forcing immediate shutdown.
wrapper  | JVM did not exit on request, terminated
wrapper  | CTRL-C trapped.  Forcing immediate shutdown.
wrapper  | <-- Wrapper Stopped
wrapper  | --> Wrapper Started as Console
wrapper  | Launching a JVM...
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2015-07-03 12:00:18,500+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2015-07-03 12:00:18,515+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 4748, Wrapper PID: 4188, User: admin
